Date,Open,High,Low,Close,Adj Close,Volume
2011-08-18,63.189999,63.580002,62.020000,63.160000,44.572201,23376400
2011-08-19,62.910000,63.779999,62.740002,63.139999,44.558075,19394800
2011-08-22,63.990002,64.099998,63.009998,63.290001,44.663925,13689300
2011-08-23,63.520000,64.989998,63.419998,64.970001,45.849522,14879000
2011-08-24,65.379997,65.699997,64.839996,65.529999,46.244720,14523000
2011-08-25,65.489998,65.489998,64.199997,64.550003,45.553123,13134400
2011-08-26,63.549999,64.570000,62.500000,64.279999,45.766720,14150600
2011-08-29,64.639999,65.919998,64.559998,65.860001,46.891659,12867900
2011-08-30,65.820000,66.040001,65.190002,65.769997,46.827576,11183000
2011-08-31,66.029999,66.230003,65.339996,65.800003,46.848946,14555300
2011-09-01,65.660004,66.139999,65.110001,65.330002,46.514309,11141100
2011-09-02,64.830002,65.000000,63.910000,64.070000,45.617191,13713600
2011-09-06,63.169998,64.750000,62.500000,64.639999,46.023029,15848300
2011-09-07,65.040001,65.449997,64.690002,65.430000,46.585510,10759700
2011-09-08,64.959999,65.930000,64.839996,64.949997,46.243740,15551500
2011-09-09,64.389999,64.410004,63.290001,63.639999,45.311035,17008200
2011-09-12,63.099998,63.610001,62.299999,63.590000,45.275448,13448200
2011-09-13,63.990002,64.050003,63.180000,63.610001,45.289673,11595300
2011-09-14,63.950001,64.470001,62.980000,63.730000,45.375118,13429500
2011-09-15,64.279999,64.629997,63.919998,64.400002,45.852150,10625800
2011-09-16,64.519997,64.739998,63.959999,64.589996,45.987427,15688800
2011-09-19,64.050003,64.389999,63.630001,64.139999,45.667042,8571800
2011-09-20,64.419998,64.849998,63.790001,64.220001,45.723980,10874800
2011-09-21,64.190002,64.599998,63.099998,63.130001,44.947929,10041300
2011-09-22,62.160000,62.599998,61.139999,61.919998,44.086422,19456900
2011-09-23,61.299999,61.900002,61.000000,61.590000,43.851463,10983700
2011-09-26,62.049999,62.849998,62.009998,62.689999,44.634647,10561700
2011-09-27,63.369999,64.349998,62.709999,63.820000,45.439198,13118200
2011-09-28,63.900002,64.449997,63.139999,63.250000,45.033363,8964200
2011-09-29,63.919998,64.239998,63.020000,63.900002,45.496166,8923300
2011-09-30,63.220001,64.739998,63.150002,63.689999,45.346653,14556100
2011-10-03,63.650002,64.209999,62.049999,62.080002,44.200336,16891100
2011-10-04,61.549999,62.330002,60.830002,62.169998,44.264423,18192000
2011-10-05,62.209999,62.509998,61.599998,62.349998,44.392570,15405200
2011-10-06,62.520000,62.830002,62.099998,62.810001,44.720100,9595400
2011-10-07,63.009998,63.720001,63.000000,63.130001,44.947929,12361600
2011-10-10,63.889999,64.430000,63.639999,64.430000,45.873520,7104000
2011-10-11,64.260002,64.360001,63.849998,63.959999,45.538891,7628700
2011-10-12,64.129997,64.690002,63.869999,64.330002,45.802315,9375100
2011-10-13,64.449997,64.449997,63.570000,64.230003,45.731113,7781100
2011-10-14,64.690002,64.739998,64.169998,64.720001,46.079994,6678800
2011-10-17,64.400002,64.839996,63.619999,63.790001,45.417854,10797900
2011-10-18,63.759998,64.739998,63.400002,64.419998,45.866390,11705300
2011-10-19,64.510002,64.510002,62.160000,62.639999,44.599045,19964600
2011-10-20,62.959999,63.130001,62.310001,62.529999,44.520737,11562600
2011-10-21,63.110001,63.840000,62.889999,63.779999,45.410717,13175400
2011-10-24,63.900002,64.790001,63.599998,64.730003,46.087124,12552700
2011-10-25,64.559998,64.830002,63.560001,63.689999,45.346653,10324800
2011-10-26,64.190002,64.599998,63.790001,64.489998,45.916229,9932100
2011-10-27,64.989998,65.690002,64.709999,65.500000,46.635338,16450700
2011-10-28,65.639999,65.849998,65.029999,65.599998,46.706547,10390800
2011-10-31,65.169998,65.860001,64.379997,64.389999,45.845036,13720400
2011-11-01,63.680000,64.099998,63.180000,63.380001,45.125923,14749900
2011-11-02,64.389999,64.389999,63.410000,63.639999,45.311035,10136200
2011-11-03,64.070000,64.519997,63.669998,64.339996,45.809437,10466000
2011-11-04,64.000000,64.540001,63.410000,64.120003,45.652802,9725200
2011-11-07,63.959999,64.339996,63.250000,64.000000,45.567360,8783900
2011-11-08,64.089996,64.989998,63.950001,64.860001,46.179672,7989500
2011-11-09,64.070000,64.129997,63.099998,63.529999,45.232731,11072500
2011-11-10,64.129997,64.419998,63.660000,64.120003,45.652802,7597500
2011-11-11,64.620003,65.489998,64.620003,65.250000,46.457340,9086800
2011-11-14,64.970001,65.330002,64.650002,64.910004,46.215282,8276100
2011-11-15,64.970001,65.290001,64.510002,64.989998,46.272228,10726300
2011-11-16,64.529999,65.160004,64.300003,64.400002,45.852150,8398100
2011-11-17,64.169998,64.510002,63.299999,63.939999,45.524635,13924700
2011-11-18,64.190002,64.199997,63.560001,63.849998,45.460545,12659600
2011-11-21,63.270000,63.340000,62.880001,62.939999,44.812653,32806700
2011-11-22,62.950001,63.200001,62.700001,62.900002,44.784172,8680000
2011-11-23,62.590000,62.650002,61.990002,61.990002,44.136253,10362800
2011-11-25,61.310001,61.639999,61.049999,61.270000,44.028473,5838800
2011-11-28,61.880001,62.709999,61.779999,62.369999,44.818920,11678000
2011-11-29,62.820000,63.130001,62.459999,62.779999,45.113544,8923600
2011-11-30,63.919998,64.739998,63.799999,64.720001,46.507637,15032600
2011-12-01,64.680000,64.949997,64.349998,64.449997,46.313606,9852700
2011-12-02,64.870003,64.889999,63.299999,63.470001,45.609398,15792800
2011-12-05,64.099998,64.250000,62.849998,63.360001,45.530346,15294500
2011-12-06,63.610001,63.930000,63.259998,63.490002,45.623768,10417800
2011-12-07,63.570000,64.809998,63.369999,64.449997,46.313606,11504700
2011-12-08,64.139999,64.449997,63.560001,63.779999,45.832146,9566800
2011-12-09,64.320000,64.680000,63.980000,64.529999,46.371094,8835700
2011-12-12,63.869999,64.199997,63.349998,63.509998,45.638126,10808700
2011-12-13,64.080002,64.080002,63.139999,63.360001,45.530346,14215500
2011-12-14,63.380001,63.779999,62.930000,63.180000,45.400993,9802400
2011-12-15,63.650002,64.099998,63.570000,64.000000,45.990242,9656700
2011-12-16,64.360001,64.370003,63.549999,64.300003,46.205830,19214300
2011-12-19,64.180000,64.279999,63.360001,63.529999,45.652508,9024700
2011-12-20,64.019997,64.730003,64.010002,64.519997,46.363914,12247700
2011-12-21,64.809998,65.000000,64.580002,64.959999,46.680092,8517800
2011-12-22,65.059998,65.260002,64.620003,65.180000,46.838188,7428000
2011-12-23,65.230003,66.000000,65.180000,65.980003,47.413055,6503300
2011-12-27,65.989998,66.320000,65.900002,66.019997,47.441814,4995100
2011-12-28,65.970001,66.029999,65.300003,65.449997,47.032211,5943900
2011-12-29,65.309998,66.029999,65.250000,65.879997,47.341198,5702400
2011-12-30,65.589996,65.930000,65.529999,65.580002,47.125626,4959700
2012-01-03,65.589996,66.000000,65.250000,65.879997,47.341198,16116200
2012-01-04,65.750000,65.879997,65.110001,65.480003,47.053772,9243100
2012-01-05,65.320000,65.599998,64.830002,65.400002,46.996284,11886900
2012-01-06,65.440002,65.459999,64.610001,64.830002,46.586678,15359900
2012-01-09,64.959999,65.089996,64.410004,64.930000,46.658539,7934600
2012-01-10,65.110001,65.400002,65.000000,65.199997,46.852554,8476600
2012-01-11,65.110001,65.540001,64.839996,65.129997,46.802261,6784600
2012-01-12,65.279999,65.410004,64.930000,65.230003,46.874115,7402900
2012-01-13,64.970001,65.279999,64.360001,65.260002,46.895672,8978800
2012-01-17,65.540001,65.690002,64.500000,65.120003,46.795078,8359900
2012-01-18,65.260002,65.370003,65.000000,65.279999,46.910061,8095600
2012-01-19,65.160004,65.250000,64.790001,65.190002,46.845367,11699800
2012-01-20,65.279999,65.550003,64.540001,65.269997,46.902855,14715500
2012-01-23,65.230003,65.330002,64.879997,65.000000,46.708839,10125000
2012-01-24,64.339996,65.449997,64.339996,65.000000,46.708839,12367900
2012-01-25,64.830002,65.300003,64.760002,65.220001,46.866932,10531400
2012-01-26,65.529999,65.879997,65.220001,65.699997,47.211849,12546100
2012-01-27,65.620003,65.870003,65.459999,65.559998,47.111240,10466300
2012-01-30,65.330002,65.709999,65.129997,65.709999,47.219048,7482100
2012-01-31,65.860001,65.949997,65.559998,65.910004,47.362766,13562900
2012-02-01,65.970001,66.320000,65.650002,65.690002,47.204678,12275900
2012-02-02,65.940002,65.970001,65.349998,65.589996,47.132813,8282400
2012-02-03,65.900002,66.019997,65.529999,65.639999,47.168743,9036200
2012-02-06,65.459999,65.580002,65.050003,65.190002,46.845367,9535700
